token_normalizado,resolucion_canonica,categoria,validar,observaciones,frecuencia_total,datasets_presentes,ejemplos_raw
no hace lugar a medida de seguridad,no hace lugar a medida de seguridad,medida de seguridad,,,1,1,"No hace lugar a medida de seguridad, medidas art. 68, derivacion"
no medida de seguridad,no hace lugar a medida de seguridad,medida de seguridad,,,2,1,No Medida de Seguridad | comparendo compulsivo - no medida de seguridad
deniega morigeracion,no hace lugar a morigeracion de prision preventiva,medida de coercion,,,1,1,deniega morigeracion
no arresto domiciliario,no hace lugar a morigeracion de prision preventiva,medida de coercion,,,1,1,no arresto domiciliario-mantiene medida de seguridad - amplia salidas
no domic,no hace lugar a morigeracion de prision preventiva,medida de coercion,,,1,1,No domic / elev juicio
no ha lugar a prision domiciliaria,no hace lugar a morigeracion de prision preventiva,medida de coercion,,,1,1,no ha lugar a prision domiciliaria
no morigeracion,no hace lugar a morigeracion de prision preventiva,medida de coercion,,,1,1,no  morigeración - prisión preventiva - régimen cerrado
no lugar a la nulidad y exclusion probatoria,no hace lugar a nulidad,nulidad,,,1,1,PP rég cerrado/no lugar a la nulidad y exclusión probatoria/ no falta de mérito
no nulidad,no hace lugar a nulidad,nulidad,,,2,2,"No nulidad | sobreseimiento, no nulidad, mantieneprision preventiva, elevacion a juicio"
no nulidad no det,no hace lugar a nulidad,nulidad,,,1,1,No nulidad  no det
detencion denegada,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,7,1,detención denegada
detencion denegadda,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,detención denegadda
fija audiencia,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,no rebeldía - fija audiencia
no a detencion,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,2,1,No a detencion | No a detención
no detenc,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,No detenc/no allan
no detencion,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,6,2,No detención | orden de allanamiento - no detención -no habilitación horario | no detención/ orden de allanamiento/radica en otro juzgado
no hace lugar a deten,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,No hace lugar a deten
no hace lugar a detencion,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,4,1,"Allanamiento,  No hace lugar a detención | no hace lugar a detencion | no hace lugar a detencion, no hace lugar a allanamiento"
no hace lugar detenci,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,No hace lugar detenci
no lugar a captur,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,No lugar a captur
no lugar a detenc,no hace lugar a orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,No lugar a detenc
no al sob,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,Comp /  no al sob
no al sobreseimiento,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,No al sobreseimiento
no hace luagr a sobreseimiento,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,"no hace luagr a sobreseimiento, SJP"
no hace lugar a sobreesimiento,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,"no hace lugar a sobreesimiento, eleva a juicio"
no hace lugar a sobreseimiento,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,"no hace lugar a sobreseimiento, eleva a juicio"
no lugar a sob,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,No lugar a sob
no sobreseimiento,no hace lugar a sobreseimiento,cierre de proceso,,,1,1,no sobreseimiento - falta de mérito - prisión preventiva -régimen semi libertad
no hace lugar a sjp,no hace lugar a suspension de juicio a prueba,salida alternativa,,,1,1,No hace lugar a SJP
no salida alternativa al conflicto,no hace lugar a suspension de juicio a prueba,salida alternativa,,,1,1,libertad con obligaciones/no salida alternativa al conflicto/remite a juicio
no sjp,no hace lugar a suspension de juicio a prueba,salida alternativa,,,1,1,no SJP - eleva a juicio
no a citacion de vict,no hace lugara a citacion a victima,varios,,,1,1,No a citación de vict
nulidad,nulidad,nulidad,,,5,1,"nulidad | Nulidad | Cese de Prision Preventiva, nulidad, declina competencia"
captura,orden de captura,ordenes de detencion/captura/comparendos,,,15,2,"rebeldia, Captura | rebeldia, captura | Rebeldia, Captura"
sin efecto captura,orden de captura sin efecto,ordenes de detencion/captura/comparendos,,,1,1,sin efecto captura - mantiene PP
detencion,orden de detencion,ordenes de detencion/captura/comparendos,,,17,3,Inhibitoria/detencion | Detención/no allanam | Detención
detencion concedida,orden de detencion,ordenes de detencion/captura/comparendos,,,6,1,detención concedida | detención concedida - convalida allanamiento
orden de detencion,orden de detencion,ordenes de detencion/captura/comparendos,,,9,2,Orden de detencion | orden de detención | orden de detención - orden de allanamiento
orden detencion,orden de detencion,ordenes de detencion/captura/comparendos,,,2,1,"orden detención, allanamiento | orden allanamiento - orden detención"
ordena dentencion,orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,Ordena dentención
ordena detencion,orden de detencion,ordenes de detencion/captura/comparendos,,,2,1,Ordena detención
pedido de detenc,orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,Pedido de detenc
ratifica detencion,orden de detencion,ordenes de detencion/captura/comparendos,,,1,1,"acepta competencia, ratifica detencion, conversion"
prescripcion,prescripcion,cierre de proceso,,,1,1,Prescripción
convierte en prision p,prision preventiva,medida de coercion,,,1,1,Convierte en prisión p
mantiene p preve,prision preventiva,medida de coercion,,,1,1,Mantiene P preve
mantiene pp,prision preventiva,medida de coercion,,,1,1,sin efecto captura - mantiene PP
mantiene prision preventiva,prision preventiva,medida de coercion,,,7,2,mantiene prision preventiva | mantiene prisión preventiva | mantiene prisión preventiva - eleva a juicio
mantieneprision preventiva,prision preventiva,medida de coercion,,,1,1,"sobreseimiento, no nulidad, mantieneprision preventiva, elevacion a juicio"
pp,prision preventiva,medida de coercion,,,3,1,PP - régimen de semilibertad | PP-arresto domicliario | PP-arresto domiciliario
pp reg cerrado,prision preventiva,medida de coercion,,,1,1,PP rég cerrado/no lugar a la nulidad y exclusión probatoria/ no falta de mérito
pp reg contencion o semilibertad,prision preventiva,medida de coercion,,,1,1,PP rég contención o semilibertad
pp regimen cerrado,prision preventiva,medida de coercion,,,1,1,PP régimen cerrado
prision preventiva,prision preventiva,medida de coercion,,,68,3,Prisión preventiva | Prision preventiva | Prision Preventiva
prision preventiva concedida,prision preventiva,medida de coercion,,,3,1,prisión preventiva concedida
prision preventiva semi libertad,prision preventiva,medida de coercion,,,1,1,prision preventiva semi libertad
prision preventiva. regimen cerrado,prision preventiva,medida de coercion,,,1,1,prisión preventiva. Regimen cerrado
prision preventivo,prision preventiva,medida de coercion,,,2,1,prisión preventivo | cambio de calificación legal - prisión preventivo - régimen de contención
no prorroga prhibicion de acercamiento,prorroga cautelar,ac 4099,,,1,1,no prórroga prhibición de acercamiento
prorroga de investigacion,prorroga de ipp,varios,,,3,1,prorroga de investigacion
prorroga de la ipp,prorroga de ipp,varios,,,1,1,prórroga de la IPP
prorroga cautelar,prorroga de medida cautelar,ac 4099,,,1,1,prorroga cautelar
prorroga de medida de seguridad,prorroga de medida de seguridad,medida de seguridad,,,1,1,prorroga de medida de seguridad
prorroga medida de seguridad,prorroga de medida de seguridad,medida de seguridad,,,1,1,prórroga medida de seguridad
prorroga de prision preventiva,prorroga de prision preventiva,medida de coercion,,,2,1,Prorroga de prision preventiva
extiende sjp,prorroga de suspension de juicio a prueba,salida alternativa,,,1,1,Extiende SJP
prorr vencimiento sjp,prorroga de suspension de juicio a prueba,salida alternativa,,,1,1,Prorr vencimiento SJP
prorroga de sjp,prorroga de suspension de juicio a prueba,salida alternativa,,,1,1,Prorroga de SJP
prorroga sjp,prorroga de suspension de juicio a prueba,salida alternativa,,,1,1,Prorroga SJP
rebeldia,rebeldia,rebeldia,,,46,3,Rebeldìa | Revoca SJP / rebeldía | Revoca SJP/rebeldía
rebeldia captura,rebeldia,rebeldia,,,1,1,"revoca libertad, rebeldía captura"
rechaza accion,rechaza amparo,amparo,,,1,1,Rechaza acción 
rechaza amparo,rechaza amparo,amparo,,,3,2,Rechaza amparo | Rechaza Amparo
competencia rechazada,rechaza competencia,competencia,,,1,1,competencia rechazada/rechaza la excusación promovida
contienda de competencia,rechaza competencia,competencia,,,1,1,contienda de competencia - recurso de casación
cuestion de competencia,rechaza competencia,competencia,,,1,1,Cuestion de competencia
no acepta comp,rechaza competencia,competencia,,,1,1,No acepta comp
no acepta competencia,rechaza competencia,competencia,,,1,1,no acepta competencia
rechaza compet,rechaza competencia,competencia,,,1,1,Rechaza compet
rechaza competencia,rechaza competencia,competencia,,,4,2,Rechaza competencia
recurso de casacion,rechaza competencia,competencia,,,2,1,contienda de competencia - recurso de casación | recurso de casación
excusacion rechazada,rechaza excusacion,competencia,,,1,1,excusacion rechazada
no acepta excusacion,rechaza excusacion,competencia,,,1,1,No acepta excusación
rechaza la excusacion promovida,rechaza excusacion,competencia,,,1,1,competencia rechazada/rechaza la excusación promovida
excimicion de prision denegada,rechaza eximicion de prision,eximicion de prision,,,2,1,Excimicion de prision denegada
eximicion de prision denegada,rechaza eximicion de prision,eximicion de prision,,,1,1,Eximicion de prisión denegada
no eximic de prision,rechaza eximicion de prision,eximicion de prision,,,1,1,No eximic de prisión
no eximicion de prision,rechaza eximicion de prision,eximicion de prision,,,1,1,"toma razón de la inhibitoria, no eximición de prisión"
no eximicion prision,rechaza eximicion de prision,eximicion de prision,,,1,1,No Eximición Prision
no hace lugar a eximicion de prision,rechaza eximicion de prision,eximicion de prision,,,2,1,No hace lugar a Eximicion de Prision
habeas corpus denegado,rechaza habeas corpus,habeas corpus,,,1,1,habeas corpus denegado
no hace lugar a habeas corpus,rechaza habeas corpus,habeas corpus,,,1,1,no hace lugar a Hábeas Corpus
declara abstracto habeas corpus,rechaza habeas corpus por abstracto,habeas corpus,,,1,1,declara abstracto habeas corpus
rechaza medida seguridad,rechaza medida de seguridad,medida de coercion,,,1,1,rechaza medida seguridad
no a cambio reg.,rechaza modificacion de suspension de juicio a prueba,salida alternativa,,,1,1,No a cambio Reg.
rectificatoria,rectificatoria,varios,,,1,1,Rectificatoria
recurso de reposicion,recurso de reposicion,varios,,,1,1,recurso de reposición
r egimen cerrado,regimen cerrado,medida de coercion,,,1,1,"prision preventiva, r egimen cerrado"
regimen cerrado,regimen cerrado,medida de coercion,,,14,2,"Prisión Preventiva, regimen cerrado | Prision preventiva, regimen cerrado | Prision Preventiva, regimen cerrado"
regime nde semilibertad,regimen de semilibertad,medida de coercion,,,1,1,"Prisión Preventiva, regime nde semilibertad"
regimen de contencion,regimen de semilibertad,medida de coercion,,,5,1,medida de seguridad - régimen de contención | prisión preventiva - régimen de contención | prisión preventiva - régimen de contención - autoriza salidas 
regimen de semilibertad,regimen de semilibertad,medida de coercion,,,7,2,"Prisión Preventiva, arresto domiliario, regimen de semilibertad | prision preventiva, regimen de semilibertad | falta de merito, prision preventiva, regimen de semilibertad, apertura de celular"
regimen semi libertad,regimen de semilibertad,medida de coercion,,,2,1,no sobreseimiento - falta de mérito - prisión preventiva -régimen semi libertad | prisión preventiva - régimen semi libertad
regimen semilibertad,regimen de semilibertad,medida de coercion,,,3,2,"Morigeracion de prisión preventiva, Regimen Semilibertad, elevación a juicio | prision preventiva, regimen semilibertad | Prisión preventiva, régimen semilibertad"
regiment ede semilibertad,regimen de semilibertad,medida de coercion,,,1,1,"Prisión Preventiva, regiment ede semilibertad, libertad con obligaciones"
semilibertad,regimen de semilibertad,medida de coercion,,,3,2,"Prisión Preventiva, semilibertad | Morigeracion de prision preventiva, semilibertad, elevacion a juicio | prisión preventiva - semilibertad"
costas,regulacion de honorarios,amparo,,,1,1,costas
regulacion de honorarios,regulacion de honorarios,amparo,,,2,2,regulación de honorarios
cierre definitivo del proceso,remision art. 40 ley 13634,cierre de proceso,,,2,1,cierre definitivo del proceso
cierre del proceso,remision art. 40 ley 13634,cierre de proceso,,,2,1,cierre del proceso
remision,remision art. 40 ley 13634,cierre de proceso,,,5,1,remisión | Remisión - sin efecto el comparendo compulsivo | Remisión - sin efecto SJP
remision art. 40,remision art. 40 ley 13634,cierre de proceso,,,5,1,Remisión art. 40
remite a fiscalia,remision art. 40 ley 13634,cierre de proceso,,,1,1,Remite a fiscalía
sin efecto sjp,remision art. 40 ley 13634,cierre de proceso,,,1,1,Remisión - sin efecto SJP
sobreseimiento remision en audiencia,remision art. 40 ley 13634,cierre de proceso,,,1,1,sobreseimiento remisión en audiencia
revoca libertad,revocatoria de libertad,medida de coercion,,,1,1,"revoca libertad, rebeldía captura"
revoca sjp,revocatoria de suspension de juicio a prueba,salida alternativa,,,10,3,Revoca SJP | Revoca SJP / rebeldía | Revoca SJP/rebeldía
revoca suspension de juicio a prueba,revocatoria de suspension de juicio a prueba,salida alternativa,,,1,1,"revoca suspensión de juicio a prueba, eleva a juicio"
hace lugar a amparo,sentencia hace lugar a accion de amparo,amparo,,,2,1,sentencia - hace lugar a amparo
hacer lugar al amparo,sentencia hace lugar a accion de amparo,amparo,,,1,1,hacer lugar al amparo
sentencia,sentencia hace lugar a accion de amparo,amparo,si,,2,1,sentencia - hace lugar a amparo
audiencia sobreseimiento,sobreseimiento,cierre de proceso,,,1,1,audiencia sobreseimiento / no ha lugar a medida cautelar
cesa intervencion,sobreseimiento,cierre de proceso,,,1,1,Cesa intervención
pedido de sob,sobreseimiento,cierre de proceso,,,1,1,Pedido de sob
sebreseimiento,sobreseimiento,cierre de proceso,,,1,1,sebreseimiento
sob,sobreseimiento,cierre de proceso,,,2,1,Cesa Med Seg/sob | Aud art. 336 C /sob
sob parcial,sobreseimiento,cierre de proceso,,,1,1,Sob parcial
sobreimiento,sobreseimiento,cierre de proceso,,,1,1,sobreimiento
sobres,sobreseimiento,cierre de proceso,,,3,1,Acep compet/sobres | Sobres/inter serv loc | Ext de ace / sobres
sobreseimeinto,sobreseimiento,cierre de proceso,,,3,1,Sobreseimeinto
sobreseimieno,sobreseimiento,cierre de proceso,,,1,1,sobreseimieno
sobreseimientio,sobreseimiento,cierre de proceso,,,1,1,sobreseimientio
sobreseimiento,sobreseimiento,cierre de proceso,,,1237,3,Sobreseimiento | Comp/Sobreseimiento | Sobreseimiento 
sobreseimiento c,sobreseimiento,cierre de proceso,,,1,1,Sobreseimiento c/ Derivacion
sobreseimiento parc,sobreseimiento,cierre de proceso,,,1,1,Sobreseimiento parc
sobreseimiento parcial,sobreseimiento,cierre de proceso,,,4,1,eleva a juicio/sobreseimiento parcial | sobreseimiento parcial / eleva a juicio | sobreseimiento parcial  
sobreseiminto,sobreseimiento,cierre de proceso,,,3,1,sobreseiminto
sobresemiento,sobreseimiento,cierre de proceso,,,7,1,Sobresemiento
sobresiemiento,sobreseimiento,cierre de proceso,,,1,1,Sobresiemiento
sorbeseimiento,sobreseimiento,cierre de proceso,,,1,1,"cese de medida de seguridad, sorbeseimiento, derivacion"
ssobreseimiento,sobreseimiento,cierre de proceso,,,1,1,ssobreseimiento
solicita inhibitoria,solicita inhibitoria,competencia,,,2,1,"Solicita inhibitoria | rebeldia, Comparendo compulsivo, solicita inhibitoria"
acuerdo de sjp,suspension de juicio a prueba,salida alternativa,,,2,1,acuerdo de SJP
amplia sjp,suspension de juicio a prueba,salida alternativa,,,2,2,"Amplia SJP | Acepta Competencia, Amplia SJP"
hace lug a salida alt,suspension de juicio a prueba,salida alternativa,,,1,1,Hace lug a salida alt
mantener sjp,suspension de juicio a prueba,salida alternativa,,,1,1,mantener SJP - modifica obligaciones
mantiene obligaciones,suspension de juicio a prueba,salida alternativa,,,1,1,mantiene obligaciones/declara abstracta la solicitud de rebeldía y captura
mantiene sjp,suspension de juicio a prueba,salida alternativa,,,2,1,Mantiene SJP
retoma sjp,suspension de juicio a prueba,salida alternativa,,,1,1,Retoma SJP
salida alternativa,suspension de juicio a prueba,salida alternativa,,,1,1,Salida alternativa
sjp,suspension de juicio a prueba,salida alternativa,,,125,2,SJP | Cesa detención/SJP | sjp
suspencion de juicio a prueba,suspension de juicio a prueba,salida alternativa,,,1,1,suspención de juicio a prueba
suspende reglas,suspension de juicio a prueba,salida alternativa,,,1,1,Suspende reglas
suspension de juicio a prueba,suspension de juicio a prueba,salida alternativa,,,32,1,Suspensión de Juicio a Prueba | suspensión de Juicio a Prueba | suspensión de juicio a prueba
suspension de plazo de 336,suspension de plazos,varios,,,1,1,suspension de plazo de 336
suspension de tramite,suspension de plazos,varios,,,2,2,Suspensión de tramite | suspension de tramite
suspende salidas,suspension de salidas,varios,,,1,1,mantinemedida de seguridad - suspende salidas
